source_stem,label_file,line_number,x_center,y_center,width,height,left,top,right,bottom,overflow_directions,left_overflow,top_overflow,right_overflow,bottom_overflow,max_overflow,overflow_bin,has_other_valid_crack_box,other_valid_crack_box_count,source_fully_excluded,micro_rounding_scale,build_errors,visual_groups
t736_198_010824702,t736_198_010824702.txt,1,0.978960,0.622123,0.042081,0.074611,0.9579195,0.5848175,1.0000005,0.6594285,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t736_348_011112283,t736_348_011112283.txt,1,0.954960,0.829395,0.090081,0.104612,0.9099195,0.777089,1.0000005,0.881701,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t737_142_011305562,t737_142_011305562.txt,3,0.500812,0.918471,0.038124,0.163059,0.481750,0.8369415,0.519874,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,True,3,False,True,BBOX_OUT_OF_BOUNDS,top30
t737_899_011425285,t737_899_011425285.txt,1,0.406913,0.948196,0.032831,0.103609,0.3904975,0.8963915,0.4233285,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro;top30
t740_246_012536859,t740_246_012536859.txt,1,0.179763,0.264053,0.359527,0.162667,-0.0000005,0.1827195,0.3595265,0.3453865,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro;top30
t746_446_014127090,t746_446_014127090.txt,1,0.408759,0.140445,0.817519,0.069775,-0.0000005,0.1055575,0.8175185,0.1753325,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t748_011_014412535,t748_011_014412535.txt,1,0.053739,0.507881,0.107479,0.020963,-0.0000005,0.4973995,0.1074785,0.5183625,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t752_611_015318454,t752_611_015318454.txt,2,0.072930,0.437957,0.145861,0.063419,-0.0000005,0.4062475,0.1458605,0.4696665,left,0.0000005,0,0,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,top30
t752_867_015456337,t752_867_015456337.txt,1,0.724297,0.730865,0.551407,0.240403,0.4485935,0.6106635,1.0000005,0.8510665,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t752_870_015456822,t752_870_015456822.txt,1,0.060791,0.232509,0.121583,0.119464,-0.0000005,0.172777,0.1215825,0.292241,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t754_399_185355380,t754_399_185355380.txt,1,0.496443,0.777836,0.992887,0.089804,-0.0000005,0.732934,0.9928865,0.822738,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t755_038_185518345,t755_038_185518345.txt,1,0.739694,0.041651,0.519126,0.083303,0.480131,-0.0000005,0.999257,0.0833025,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro;top30
t758_757_190311483,t758_757_190311483.txt,1,0.832410,0.427468,0.335181,0.070895,0.6648195,0.3920205,1.0000005,0.4629155,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t760_674_014136049,t760_674_014136049.txt,1,0.037585,0.493385,0.075171,0.021164,-0.0000005,0.482803,0.0751705,0.503967,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro;top30
t768_049_192440242,t768_049_192440242.txt,1,0.781830,0.950623,0.436340,0.098755,0.563660,0.9012455,1.000000,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro;top30
t768_229_192459722,t768_229_192459722.txt,1,0.553001,0.364137,0.893999,0.067205,0.1060015,0.3305345,1.0000005,0.3977395,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_229_192459722,t768_229_192459722.txt,2,0.585889,0.627583,0.828223,0.332657,0.1717775,0.4612545,1.0000005,0.7939115,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_255_192502550,t768_255_192502550.txt,1,0.789257,0.087568,0.255567,0.175137,0.6614735,-0.0000005,0.9170405,0.1751365,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro;top30
t768_267_192503799,t768_267_192503799.txt,1,0.730425,0.252076,0.539151,0.172878,0.4608495,0.165637,1.0000005,0.338515,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_430_192520936,t768_430_192520936.txt,1,0.636358,0.487470,0.727285,0.115715,0.2727155,0.4296125,1.0000005,0.5453275,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_458_192523841,t768_458_192523841.txt,1,0.874453,0.251818,0.251095,0.097364,0.7489055,0.203136,1.0000005,0.300500,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_463_192524373,t768_463_192524373.txt,2,0.673048,0.370503,0.653905,0.216559,0.3460955,0.2622235,1.0000005,0.4787825,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_490_192527216,t768_490_192527216.txt,1,0.610987,0.760032,0.778027,0.118681,0.2219735,0.7006915,1.0000005,0.8193725,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_541_192532574,t768_541_192532574.txt,1,0.757357,0.467897,0.485287,0.092916,0.5147135,0.421439,1.0000005,0.514355,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_591_192537854,t768_591_192537854.txt,1,0.846076,0.982242,0.307847,0.035517,0.6921525,0.9644835,0.9999995,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_597_192538494,t768_597_192538494.txt,1,0.651190,0.197459,0.697621,0.383864,0.3023795,0.005527,1.0000005,0.389391,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_605_192539338,t768_605_192539338.txt,1,0.631674,0.095387,0.736653,0.190775,0.2633475,-0.0000005,1.0000005,0.1907745,top;right,0,0.0000005,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,top30
t768_627_192541603,t768_627_192541603.txt,1,0.788973,0.415539,0.422055,0.333319,0.5779455,0.2488795,1.0000005,0.5821985,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro;top30
t770_476_193028785,t770_476_193028785.txt,3,0.712119,0.801363,0.575763,0.070793,0.4242375,0.7659665,1.0000005,0.8367595,right,0,0,0.0000005,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,random20_micro;top30
t778_166_011852188,t778_166_011852188.txt,1,0.500724,0.079854,0.234418,0.159709,0.383515,-0.0000005,0.617933,0.1597085,top,0,0.0000005,0,0,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,random20_micro
t778_319_011908101,t778_319_011908101.txt,2,0.969030,0.420008,0.061941,0.096095,0.9380595,0.3719605,1.0000005,0.4680555,right,0,0,0.0000005,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t793_741_014949222,t793_741_014949222.txt,1,0.031994,0.289959,0.063989,0.045732,-0.0000005,0.267093,0.0639885,0.312825,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro
t801_088_011444784,t801_088_011444784.txt,4,0.462772,0.980397,0.010945,0.039207,0.4572995,0.9607935,0.4682445,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,
t804_033_011850661,t804_033_011850661.txt,1,0.512952,0.948916,0.037662,0.102169,0.494121,0.8978315,0.531783,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t805_766_012153531,t805_766_012153531.txt,1,0.485382,0.612946,0.970765,0.117193,-0.0000005,0.5543495,0.9707645,0.6715425,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t805_773_012154233,t805_773_012154233.txt,1,0.284299,0.491496,0.249060,0.982993,0.159769,-0.0000005,0.408829,0.9829925,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro
t808_231_012811580,t808_231_012811580.txt,1,0.433551,0.410665,0.067699,0.821331,0.3997015,-0.0000005,0.4674005,0.8213305,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t808_592_013021920,t808_592_013021920.txt,1,0.480384,0.955185,0.450510,0.089631,0.255129,0.9103695,0.705639,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t808_682_013031511,t808_682_013031511.txt,1,0.436314,0.938502,0.553530,0.122997,0.159549,0.8770035,0.713079,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t808_748_013038563,t808_748_013038563.txt,1,0.587165,0.050001,0.814351,0.100003,0.1799895,-0.0000005,0.9943405,0.1000025,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t811_027_013448363,t811_027_013448363.txt,1,0.049589,0.874577,0.099179,0.247897,-0.0000005,0.7506285,0.0991785,0.9985255,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t812_812_011906777,t812_812_011906777.txt,1,0.848215,0.575793,0.016943,0.848478,0.8397435,0.151554,0.8566865,1.000032,bottom,0,0,0,0.000032,0.000032,大于1e-5且不超过1e-4,False,0,True,False,BBOX_OUT_OF_BOUNDS,known_t812;top30
t812_814_011906985,t812_814_011906985.txt,1,0.821140,0.500432,0.024009,0.999137,0.8091355,0.0008635,0.8331445,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t812_921_011918167,t812_921_011918167.txt,1,0.706070,0.504947,0.017658,0.990107,0.697241,0.0098935,0.714899,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t813_451_013841056,t813_451_013841056.txt,1,0.437944,0.967878,0.046117,0.064245,0.4148855,0.9357555,0.4610025,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t813_951_014122595,t813_951_014122595.txt,1,0.409483,0.146120,0.146760,0.292241,0.336103,-0.0000005,0.482863,0.2922405,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t813_961_014124509,t813_961_014124509.txt,1,0.102691,0.961970,0.091335,0.076061,0.0570235,0.9239395,0.1483585,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t814_145_014145961,t814_145_014145961.txt,2,0.309249,0.952814,0.266979,0.094373,0.1757595,0.9056275,0.4427385,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,
t814_643_014237989,t814_643_014237989.txt,1,0.351094,0.228805,0.558164,0.457611,0.072012,-0.0000005,0.630176,0.4576105,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t814_649_014238612,t814_649_014238612.txt,3,0.325720,0.939692,0.054645,0.120617,0.2983975,0.8793835,0.3530425,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,
t814_667_014240486,t814_667_014240486.txt,1,0.532282,0.350757,0.220131,0.701515,0.4222165,-0.0000005,0.6423475,0.7015145,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t814_859_014300763,t814_859_014300763.txt,1,0.368421,0.964986,0.285714,0.070029,0.225564,0.9299715,0.511278,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t814_860_014300875,t814_860_014300875.txt,1,0.287235,0.011465,0.115535,0.022931,0.2294675,-0.0000005,0.3450025,0.0229305,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t821_060_010718514,t821_060_010718514.txt,1,0.157300,0.024862,0.314601,0.049723,-0.0000005,0.0000005,0.3146005,0.0497235,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t827_046_012038966,t827_046_012038966.txt,1,0.827300,0.455161,0.335327,0.910323,0.6596365,-0.0000005,0.9949635,0.9103225,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t828_174_012425554,t828_174_012425554.txt,1,0.177486,0.696421,0.354973,0.036993,-0.0000005,0.6779245,0.3549725,0.7149175,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro
t829_018_012554174,t829_018_012554174.txt,1,0.044115,0.623710,0.088231,0.082206,-0.0000005,0.582607,0.0882305,0.664813,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t829_175_012611232,t829_175_012611232.txt,2,0.092337,0.788487,0.184675,0.061793,-0.0000005,0.7575905,0.1846745,0.8193835,left,0.0000005,0,0,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t829_180_012611795,t829_180_012611795.txt,1,0.248021,0.175715,0.496043,0.071594,-0.0000005,0.139918,0.4960425,0.211512,left,0.0000005,0,0,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t829_186_012612466,t829_186_012612466.txt,1,0.208773,0.542637,0.417547,0.125290,-0.0000005,0.479992,0.4175465,0.605282,left,0.0000005,0,0,0,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,
t829_774_012847242,t829_774_012847242.txt,1,0.230946,0.288391,0.461893,0.070316,-0.0000005,0.253233,0.4618925,0.323549,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t829_792_012849289,t829_792_012849289.txt,1,0.105194,0.880180,0.210389,0.239639,-0.0000005,0.7603605,0.2103885,0.9999995,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t829_819_012852429,t829_819_012852429.txt,2,0.477917,0.428887,0.955835,0.174005,-0.0000005,0.3418845,0.9558345,0.5158895,left,0.0000005,0,0,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t829_837_012854413,t829_837_012854413.txt,1,0.603516,0.359956,0.792969,0.232232,0.2070315,0.243840,1.0000005,0.476072,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t832_028_013254731,t832_028_013254731.txt,2,0.819319,0.080341,0.157689,0.160683,0.7404745,-0.0000005,0.8981635,0.1606825,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t832_079_013418915,t832_079_013418915.txt,1,0.156018,0.808109,0.026441,0.383783,0.1427975,0.6162175,0.1692385,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro
t841_028_015410932,t841_028_015410932.txt,1,0.146892,0.263900,0.293785,0.099190,-0.0000005,0.214305,0.2937845,0.313495,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t841_031_015411228,t841_031_015411228.txt,1,0.155102,0.894113,0.309476,0.211775,0.000364,0.7882255,0.309840,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t841_038_015411963,t841_038_015411963.txt,1,0.162585,0.774147,0.325171,0.148999,-0.0000005,0.6996475,0.3251705,0.8486465,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t841_085_015416915,t841_085_015416915.txt,4,0.287018,0.927933,0.130273,0.144135,0.2218815,0.8558655,0.3521545,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,
t841_406_015452047,t841_406_015452047.txt,3,0.501877,0.300249,0.996247,0.105480,0.0037535,0.247509,1.0000005,0.352989,right,0,0,0.0000005,0,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,random20_micro
t841_423_015454328,t841_423_015454328.txt,1,0.485426,0.723550,0.267857,0.552901,0.3514975,0.4470995,0.6193545,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t841_485_015503372,t841_485_015503372.txt,2,0.047459,0.292262,0.094919,0.071026,-0.0000005,0.256749,0.0949185,0.327775,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t841_498_015505825,t841_498_015505825.txt,1,0.640975,0.421895,0.718051,0.106520,0.2819495,0.368635,1.0000005,0.475155,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
